"filename", "language", "JSON", "JavaScript", "HTML", "CSS", "Markdown", "XML", "comment", "blank", "total"
"c:\Users\curti\OneDrive\Documents\Huluwa\Vonu Apartments\vonu-apartments\src\components\Home Page Components\WelcomeSection.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 6, 68
"c:\Users\curti\OneDrive\Documents\Huluwa\Vonu Apartments\vonu-apartments\src\components\Home Page Components\WelcomeSection.module.css", "CSS", 0, 0, 0, 23, 0, 0, 1, 4, 28
"c:\Users\curti\OneDrive\Documents\Huluwa\Vonu Apartments\vonu-apartments\src\components\MobileNav.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 3, 29
"c:\Users\curti\OneDrive\Documents\Huluwa\Vonu Apartments\vonu-apartments\src\components\MobileNav.module.css", "CSS", 0, 0, 0, 25, 0, 0, 0, 4, 29
"c:\Users\curti\OneDrive\Documents\Huluwa\Vonu Apartments\vonu-apartments\src\components\Overlay.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\curti\OneDrive\Documents\Huluwa\Vonu Apartments\vonu-apartments\src\components\Overlay.module.css", "CSS", 0, 0, 0, 14, 0, 0, 0, 2, 16
"c:\Users\curti\OneDrive\Documents\Huluwa\Vonu Apartments\vonu-apartments\src\components\Reservation Request Page Components\Reservation Form Components\ChooseApartmentSection.js", "JavaScript", 0, 78, 0, 0, 0, 0, 0, 8, 86
"c:\Users\curti\OneDrive\Documents\Huluwa\Vonu Apartments\vonu-apartments\src\components\Reservation Request Page Components\Reservation Form Components\ChooseApartmentSection.module.css", "CSS", 0, 0, 0, 59, 0, 0, 3, 9, 71
"c:\Users\curti\OneDrive\Documents\Huluwa\Vonu Apartments\vonu-apartments\src\components\Reservation Request Page Components\Reservation Form Components\FormSection.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\curti\OneDrive\Documents\Huluwa\Vonu Apartments\vonu-apartments\src\components\Reservation Request Page Components\Reservation Form Components\FormSectionHeader.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\curti\OneDrive\Documents\Huluwa\Vonu Apartments\vonu-apartments\src\components\Reservation Request Page Components\Reservation Form Components\FormSectionHeader.module.css", "CSS", 0, 0, 0, 46, 0, 0, 0, 7, 53
"c:\Users\curti\OneDrive\Documents\Huluwa\Vonu Apartments\vonu-apartments\src\components\Reservation Request Page Components\Reservation Form Components\FormTextInput.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\curti\OneDrive\Documents\Huluwa\Vonu Apartments\vonu-apartments\src\components\Reservation Request Page Components\Reservation Form Components\GuestDetailsSection.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\curti\OneDrive\Documents\Huluwa\Vonu Apartments\vonu-apartments\src\components\Reservation Request Page Components\Reservation Form Components\GuestDetailsSection.module.css", "CSS", 0, 0, 0, 22, 0, 0, 0, 3, 25
"c:\Users\curti\OneDrive\Documents\Huluwa\Vonu Apartments\vonu-apartments\src\components\Reservation Request Page Components\Reservation Form Components\ReservationDetailsSection.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\curti\OneDrive\Documents\Huluwa\Vonu Apartments\vonu-apartments\src\components\Reservation Request Page Components\Reservation Form Components\ReservationDetailsSection.module.css", "CSS", 0, 0, 0, 29, 0, 0, 0, 4, 33
"c:\Users\curti\OneDrive\Documents\Huluwa\Vonu Apartments\vonu-apartments\src\components\Reservation Request Page Components\Reservation Form Components\ReservationForm.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 3, 21
"c:\Users\curti\OneDrive\Documents\Huluwa\Vonu Apartments\vonu-apartments\src\components\Reservation Request Page Components\Reservation Form Components\ReservationForm.module.css", "CSS", 0, 0, 0, 20, 0, 0, 3, 3, 26
"c:\Users\curti\OneDrive\Documents\Huluwa\Vonu Apartments\vonu-apartments\src\components\Reservation Request Page Components\WelcomeSection.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 4, 19
"c:\Users\curti\OneDrive\Documents\Huluwa\Vonu Apartments\vonu-apartments\src\components\Reservation Request Page Components\WelcomeSection.module.css", "CSS", 0, 0, 0, 12, 0, 0, 0, 3, 15
"c:\Users\curti\OneDrive\Documents\Huluwa\Vonu Apartments\vonu-apartments\src\index.css", "CSS", 0, 0, 0, 84, 0, 0, 8, 12, 104
"c:\Users\curti\OneDrive\Documents\Huluwa\Vonu Apartments\vonu-apartments\src\index.js", "JavaScript", 0, 12, 0, 0, 0, 0, 3, 3, 18
"c:\Users\curti\OneDrive\Documents\Huluwa\Vonu Apartments\vonu-apartments\src\logo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\curti\OneDrive\Documents\Huluwa\Vonu Apartments\vonu-apartments\src\pages\ApartmentInfo.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 3, 23
"c:\Users\curti\OneDrive\Documents\Huluwa\Vonu Apartments\vonu-apartments\src\pages\Home.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\curti\OneDrive\Documents\Huluwa\Vonu Apartments\vonu-apartments\src\pages\Policies.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\curti\OneDrive\Documents\Huluwa\Vonu Apartments\vonu-apartments\src\pages\ReqConfirmation.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\curti\OneDrive\Documents\Huluwa\Vonu Apartments\vonu-apartments\src\pages\ResRequest.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 3, 32
"c:\Users\curti\OneDrive\Documents\Huluwa\Vonu Apartments\vonu-apartments\src\pages\RootLayout.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\curti\OneDrive\Documents\Huluwa\Vonu Apartments\vonu-apartments\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\curti\OneDrive\Documents\Huluwa\Vonu Apartments\vonu-apartments\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 0, 4, 1, 6
"Total", "-", 21650, 1101, 29, 668, 38, 434, 61, 319, 24300
